Product Name,Metal / Colour,Ring Sizes (comma separated),Price (£),Number of Birthstones (0 = none),Birthstone Price (£) (0 = included free),Max Engraving Characters (0 = no engraving),Engraving Price (£) (0 = included free)
Modern Heirloom Birthstone Ring,14k Gold Vermeil,"4, 5, 6, 7, 8, 9, 10",,2,,20,
Modern Heirloom Birthstone Ring,Sterling Silver,"4, 5, 6, 7, 8, 9, 10",,2,,20,
Custom Birthstone Toi et Moi Ring,18k Gold Vermeil,"4, 5, 6, 7, 8, 9, 10",,2,,20,
Custom Birthstone Toi et Moi Ring,Sterling Silver,"4, 5, 6, 7, 8, 9, 10",,2,,20,
Custom Birthstone Pave Ring,18k Gold Vermeil,"4, 5, 6, 7, 8, 9, 10",,2,,20,
Custom Birthstone Pave Ring,Sterling Silver,"4, 5, 6, 7, 8, 9, 10",,2,,20,
Engravable Oval with Inner Birthstones,18k Gold Vermeil,"4, 5, 6, 7, 8, 9, 10",,2,,20,
Engravable Oval with Inner Birthstones,Sterling Silver,"4, 5, 6, 7, 8, 9, 10",,2,,20,
